image,sku,name,price,description,colors,available sizes
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20149_green_1_2.jpg,CTP20149____CTP20149_pk,printed kurta,"PKR 2,900",women's top,"PURPLE,GREEN","6,8,10,12,14,16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20162_maroon_1_2.jpg,CTP20162____CTP20162_pk,printed kurta,"PKR 2,900",women's top,MAROON,12
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20166_green_1_2.jpg,CTP20166____CTP20166_pk,printed kurta,"PKR 2,900",women's top,"GREEN,YELLOW","6,8,10,12,14,16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20172_mustard_1_5.jpg,CTP20172____CTP20172_pk,printed kurta,"PKR 2,900",women's top,"RED,MUSTARD","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20105_yellow_1_5.jpg,ETP20105____ETP20105_pk,printed kurta,"PKR 2,000",women's top,"PURPLE,YELLOW","6,8,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20129_green_1_5.jpg,ETP20129____ETP20129_pk,printed kurta,"PKR 3,000",women's top,"PINK,GREEN","10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20144_green_1_2.jpg,ETP20144____ETP20144_pk,printed kurta,"PKR 3,399",women's top,"PINK,GREEN","8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20162_green_1_6.jpg,ETP20162____ETP20162_pk,printed kurta,"PKR 2,200",women's top,"GREEN,ORANGE","10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20163_purple_1_8.jpg,ETP20163____ETP20163_pk,printed kurta,"PKR 2,200",women's top,"BLUE,PURPLE","10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20164_blue_1_2.jpg,ETP20164____ETP20164_pk,printed kurta,"PKR 2,900",women's top,"BLUE,GREEN","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/f/s/fspe20130_1.jpg,FSPE20130____FSPE20130_pk,embroidered full suit,"PKR 7,400",suits,BLUE,"6,8,10"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/f/s/fspe20153_2.jpg,FSPE20153____FSPE20153_pk,embroidered full suit,"PKR 7,800",suits,GREEN,6
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etpe20119_4.jpg,ETPE20119____ETPE20119_pk,print embroidered kurta,"PKR 3,399",women's top,GREEN,8
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/cte20120_1.jpg,CTE20120____CTE20120_pk,embroidered kurta,"PKR 4,600",women's top,RED,"6,8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/cte20128_5.jpg,CTE20128____CTE20128_pk,embroidered kurta,"PKR 5,200",women's top,MAROON,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/cte20127_beige_4.jpg,CTE20127____CTE20127_pk,embroidered kurta,"PKR 5,200",women's top,BEIGE,"8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/cte20164_1.jpg,CTE20164____CTE20164_pk,embroidered kurta,"PKR 3,500",women's top,BEIGE,"10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/cte20174_1.jpg,CTE20174____CTE20174_pk,embroidered kurta,"PKR 3,500",women's top,GREEN,"6,8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20126_offwhite_1.jpg,CTPE20126____CTPE20126_pk,embroidered kurta,"PKR 4,600",women's top,OFF-WHITE,"6,8,10,12,14,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20129_blue_4.jpg,CTPE20129____CTPE20129_pk,embroidered kurta,"PKR 4,600",women's top,BLUE,"8,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20130_grey_1.jpg,CTPE20130____CTPE20130_pk,embroidered kurta,"PKR 5,200",women's top,GREY,"8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20165_orange_2.jpg,CTPE20165____CTPE20165_pk,embroidered kurta,"PKR 3,600",women's top,"RED,ORANGE","8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20173_purple_1_1.jpg,CTPE20173____CTPE20173_pk,embroidered kurta,"PKR 3,500",women's top,"PURPLE,GREEN","6,8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20128_2.jpg,ETE20128____ETE20128_pk,embroidered kurta,"PKR 5,900",women's top,OFF-WHITE,14
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20160_4.jpg,ETE20160____ETE20160_pk,embroidered kurta,"PKR 4,500",women's top,GREEN,"8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20161_green_1.jpg,ETE20161____ETE20161_pk,embroidered kurta,"PKR 4,500",women's top,GREEN,"6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20124_black_4.jpg,ETE20124____ETE20124_pk, embroidered kurta,"PKR 5,900",womens top,BLACK,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etpe20125_beige__1_.jpg,ETPE20125____ETPE20125_pk, print embroidered kurta,"PKR 5,200",womens top,BEIGE,"6,8,10"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20103_1.jpg,CTPE20103____CTPE20103_pk, embroidered kurta,"PKR 3,399",womens top,MUSTARD,"8,10,12,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb20117_03.jpg,ETB20117____ETB20117_pk,basic brosha kurta,"PKR 3,200",women's top,BLUE,"6,8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctb20163_yellow_1.jpg,CTB20163____CTB20163_pk,basic kurta,"PKR 3,200",women's top,YELLOW,"8,12"
